0,0,4,0,25.400000000000002
1,-2,4,-2,25.400000000000002
2,-4,4,-4,25.400000000000002
3,-6,4,-6,25.400000000000002
4,-8,4,-8,25.400000000000002
5,-10,4,-10,25.400000000000002
6,-12,4,-12,25.400000000000002
7,-14,4,-14,25.400000000000002
8,-16,4,-16,25.400000000000002
9,-18,4,-18,25.400000000000002
10,-20,4,-20,25.400000000000002
11,-22,4,-22,25.400000000000002
12,-24,4,-24,25.400000000000002
13,-26,4,-26,25.400000000000002
14,-28,4,-28,25.400000000000002
15,-30,4,-30,25.400000000000002
16,-32,4,-32,25.400000000000002
17,-34,4,-34,25.400000000000002
18,-36,4,-36,25.400000000000002
19,-38,4,-38,25.400000000000002
20,-40,4,-40,25.400000000000002
21,-42,4,-42,25.400000000000002
22,-44,4,-44,25.400000000000002
23,-46,4,-46,25.400000000000002
24,-48,4,-48,25.400000000000002
25,-50,4,-50,25.400000000000002
26,-52,4,-52,25.400000000000002
27,-54,4,-54,25.400000000000002
28,-56,4,-56,25.400000000000002
29,-58,4,-58,25.400000000000002
30,-60,4,-60,25.400000000000002
31,-62,4,-62,25.400000000000002
32,-64,4,-64,25.400000000000002
33,-66,4,-66,25.400000000000002
34,-68,4,-68,25.400000000000002
35,-70,4,-70,25.400000000000002
36,-72,4,-72,25.400000000000002
37,-74,4,-74,25.400000000000002
38,-76,4,-76,25.400000000000002
39,-78,4,-78,25.400000000000002
40,-80,4,-80,25.400000000000002
41,-82,4,-82,25.400000000000002
42,-84,4,-84,25.400000000000002
43,-86,4,-86,25.400000000000002
44,-88,4,-88,25.400000000000002
45,-90,4,-90,25.400000000000002
46,-92,4,-92,25.400000000000002
47,-94,4,-94,25.400000000000002
48,-96,4,-96,25.400000000000002
49,-98,4,-98,25.400000000000002
50,-100,4,-100,25.400000000000002
51,-102,4,-102,25.400000000000002
52,-104,4,-104,25.400000000000002
53,-106,4,-106,25.400000000000002
54,-108,4,-108,25.400000000000002
